infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
bichonner,bichonnant,bichonnant,bichonné,avoir,bichonne,bichonnes,bichonne,bichonnons,bichonnez,bichonnent,bichonnais,bichonnais,bichonnait,bichonnions,bichonniez,bichonnaient,bichonnai,bichonnas,bichonna,bichonnâmes,bichonnâtes,bichonnèrent,bichonnerai,bichonneras,bichonnera,bichonnerons,bichonnerez,bichonneront,bichonnerais,bichonnerais,bichonnerait,bichonnerions,bichonneriez,bichonneraient,bichonne,bichonnes,bichonne,bichonnions,bichonniez,bichonnent,bichonnasse,bichonnasses,bichonnât,bichonnassions,bichonnassiez,bichonnassent,,bichonne,,bichonnons,bichonnez,
baliser,balisant,balisant,balisé,avoir,balise,balises,balise,balisons,balisez,balisent,balisais,balisais,balisait,balisions,balisiez,balisaient,balisai,balisas,balisa,balisâmes,balisâtes,balisèrent,baliserai,baliseras,balisera,baliserons,baliserez,baliseront,baliserais,baliserais,baliserait,baliserions,baliseriez,baliseraient,balise,balises,balise,balisions,balisiez,balisent,balisasse,balisasses,balisât,balisassions,balisassiez,balisassent,,balise,,balisons,balisez,
berner,bernant,bernant,berné,avoir,berne,bernes,berne,bernons,bernez,bernent,bernais,bernais,bernait,bernions,berniez,bernaient,bernai,bernas,berna,bernâmes,bernâtes,bernèrent,bernerai,berneras,bernera,bernerons,bernerez,berneront,bernerais,bernerais,bernerait,bernerions,berneriez,berneraient,berne,bernes,berne,bernions,berniez,bernent,bernasse,bernasses,bernât,bernassions,bernassiez,bernassent,,berne,,bernons,bernez,
biper,bipant,bipant,bipé,avoir,bipe,bipes,bipe,bipons,bipez,bipent,bipais,bipais,bipait,bipions,bipiez,bipaient,bipai,bipas,bipa,bipâmes,bipâtes,bipèrent,biperai,biperas,bipera,biperons,biperez,biperont,biperais,biperais,biperait,biperions,biperiez,biperaient,bipe,bipes,bipe,bipions,bipiez,bipent,bipasse,bipasses,bipât,bipassions,bipassiez,bipassent,,bipe,,bipons,bipez,
baiser,baisant,baisant,baisé,avoir,baise,baises,baise,baisons,baisez,baisent,baisais,baisais,baisait,baisions,baisiez,baisaient,baisai,baisas,baisa,baisâmes,baisâtes,baisèrent,baiserai,baiseras,baisera,baiserons,baiserez,baiseront,baiserais,baiserais,baiserait,baiserions,baiseriez,baiseraient,baise,baises,baise,baisions,baisiez,baisent,baisasse,baisasses,baisât,baisassions,baisassiez,baisassent,,baise,,baisons,baisez,
bannir,bannissant,bannissant,banni,avoir,bannis,bannis,bannit,bannissons,bannissez,bannissent,bannissais,bannissais,bannissait,bannissions,bannissiez,bannissaient,bannis,bannis,bannit,bannîmes,bannîtes,bannirent,bannirai,banniras,bannira,bannirons,bannirez,banniront,bannirais,bannirais,bannirait,bannirions,banniriez,banniraient,bannisse,bannisses,bannisse,bannissions,bannissiez,bannissent,bannisse,bannisses,bannît,bannissions,bannissiez,bannissent,,bannis,,bannissons,bannissez,
bâcler,bâclant,bâclant,bâclé,avoir,bâcle,bâcles,bâcle,bâclons,bâclez,bâclent,bâclais,bâclais,bâclait,bâclions,bâcliez,bâclaient,bâclai,bâclas,bâcla,bâclâmes,bâclâtes,bâclèrent,bâclerai,bâcleras,bâclera,bâclerons,bâclerez,bâcleront,bâclerais,bâclerais,bâclerait,bâclerions,bâcleriez,bâcleraient,bâcle,bâcles,bâcle,bâclions,bâcliez,bâclent,bâclasse,bâclasses,bâclât,bâclassions,bâclassiez,bâclassent,,bâcle,,bâclons,bâclez,
bitumer,bitumant,bitumant,bitumé,avoir,bitume,bitumes,bitume,bitumons,bitumez,bitument,bitumais,bitumais,bitumait,bitumions,bitumiez,bitumaient,bitumai,bitumas,bituma,bitumâmes,bitumâtes,bitumèrent,bitumerai,bitumeras,bitumera,bitumerons,bitumerez,bitumeront,bitumerais,bitumerais,bitumerait,bitumerions,bitumeriez,bitumeraient,bitume,bitumes,bitume,bitumions,bitumiez,bitument,bitumasse,bitumasses,bitumât,bitumassions,bitumassiez,bitumassent,,bitume,,bitumons,bitumez,
bassiner,bassinant,bassinant,bassiné,avoir,bassine,bassines,bassine,bassinons,bassinez,bassinent,bassinais,bassinais,bassinait,bassinions,bassiniez,bassinaient,bassinai,bassinas,bassina,bassinâmes,bassinâtes,bassinèrent,bassinerai,bassineras,bassinera,bassinerons,bassinerez,bassineront,bassinerais,bassinerais,bassinerait,bassinerions,bassineriez,bassineraient,bassine,bassines,bassine,bassinions,bassiniez,bassinent,bassinasse,bassinasses,bassinât,bassinassions,bassinassiez,bassinassent,,bassine,,bassinons,bassinez,
bégayer,bégayant,bégayant,bégayé,avoir,bégaye;bégaie,bégayes;bégaies,bégaye;bégaie,bégayons,bégayez,bégayent;bégaient,bégayais,bégayais,bégayait,bégayions,bégayiez,bégayaient,bégayai,bégayas,bégaya,bégayâmes,bégayâtes,bégayèrent,bégayerai;bégaierai,bégayeras;bégaieras,bégayera;bégaiera,bégayerons;bégaierons,bégayerez;bégaierez,bégayeront;bégaieront,bégayerais;bégaierais,bégayerais;bégaierais,bégayerait;bégaierait,bégayerions;bégaierions,bégayeriez;bégaieriez,bégayeraient;bégaieraient,bégaye;bégaie,bégayes;bégaies,bégaye;bégaie,bégayions,bégayiez,bégayent;bégaient,bégayasse,bégayasses,bégayât,bégayassions,bégayassiez,bégayassent,,bégaye;bégaie,,bégayons,bégayez,
becqueter,becquetant,becquetant,becqueté,avoir,becquette,becquettes,becquette,becquetons,becquetez,becquettent,becquetais,becquetais,becquetait,becquetions,becquetiez,becquetaient,becquetai,becquetas,becqueta,becquetâmes,becquetâtes,becquetèrent,becquetterai,becquetteras,becquettera,becquetterons,becquetterez,becquetteront,becquetterais,becquetterais,becquetterait,becquetterions,becquetteriez,becquetteraient,becquette,becquettes,becquette,becquetions,becquetiez,becquettent,becquetasse,becquetasses,becquetât,becquetassions,becquetassiez,becquetassent,,becquette,,becquetons,becquetez,
auner,aunant,aunant,auné,avoir,aune,aunes,aune,aunons,aunez,aunent,aunais,aunais,aunait,aunions,auniez,aunaient,aunai,aunas,auna,aunâmes,aunâtes,aunèrent,aunerai,auneras,aunera,aunerons,aunerez,auneront,aunerais,aunerais,aunerait,aunerions,auneriez,auneraient,aune,aunes,aune,aunions,auniez,aunent,aunasse,aunasses,aunât,aunassions,aunassiez,aunassent,,aune,,aunons,aunez,
autoriser,autorisant,autorisant,autorisé,avoir,autorise,autorises,autorise,autorisons,autorisez,autorisent,autorisais,autorisais,autorisait,autorisions,autorisiez,autorisaient,autorisai,autorisas,autorisa,autorisâmes,autorisâtes,autorisèrent,autoriserai,autoriseras,autorisera,autoriserons,autoriserez,autoriseront,autoriserais,autoriserais,autoriserait,autoriserions,autoriseriez,autoriseraient,autorise,autorises,autorise,autorisions,autorisiez,autorisent,autorisasse,autorisasses,autorisât,autorisassions,autorisassiez,autorisassent,,autorise,,autorisons,autorisez,
baratter,barattant,barattant,baratté,avoir,baratte,barattes,baratte,barattons,barattez,barattent,barattais,barattais,barattait,barattions,barattiez,barattaient,barattai,barattas,baratta,barattâmes,barattâtes,barattèrent,baratterai,baratteras,barattera,baratterons,baratterez,baratteront,baratterais,baratterais,baratterait,baratterions,baratteriez,baratteraient,baratte,barattes,baratte,barattions,barattiez,barattent,barattasse,barattasses,barattât,barattassions,barattassiez,barattassent,,baratte,,barattons,barattez,
avilir,avilissant,avilissant,avili,avoir,avilis,avilis,avilit,avilissons,avilissez,avilissent,avilissais,avilissais,avilissait,avilissions,avilissiez,avilissaient,avilis,avilis,avilit,avilîmes,avilîtes,avilirent,avilirai,aviliras,avilira,avilirons,avilirez,aviliront,avilirais,avilirais,avilirait,avilirions,aviliriez,aviliraient,avilisse,avilisses,avilisse,avilissions,avilissiez,avilissent,avilisse,avilisses,avilît,avilissions,avilissiez,avilissent,,avilis,,avilissons,avilissez,
aventurer,aventurant,aventurant,aventuré,avoir,aventure,aventures,aventure,aventurons,aventurez,aventurent,aventurais,aventurais,aventurait,aventurions,aventuriez,aventuraient,aventurai,aventuras,aventura,aventurâmes,aventurâtes,aventurèrent,aventurerai,aventureras,aventurera,aventurerons,aventurerez,aventureront,aventurerais,aventurerais,aventurerait,aventurerions,aventureriez,aventureraient,aventure,aventures,aventure,aventurions,aventuriez,aventurent,aventurasse,aventurasses,aventurât,aventurassions,aventurassiez,aventurassent,,aventure,,aventurons,aventurez,
auger,augeant,augeant,augé,avoir,auge,auges,auge,augeons,augez,augent,augeais,augeais,augeait,augions,augiez,augeaient,augeai,augeas,augea,augeâmes,augeâtes,augèrent,augerai,augeras,augera,augerons,augerez,augeront,augerais,augerais,augerait,augerions,augeriez,augeraient,auge,auges,auge,augions,augiez,augent,augeasse,augeasses,augeât,augeassions,augeassiez,augeassent,,auge,,augeons,augez,
attraper,attrapant,attrapant,attrapé,avoir,attrape,attrapes,attrape,attrapons,attrapez,attrapent,attrapais,attrapais,attrapait,attrapions,attrapiez,attrapaient,attrapai,attrapas,attrapa,attrapâmes,attrapâtes,attrapèrent,attraperai,attraperas,attrapera,attraperons,attraperez,attraperont,attraperais,attraperais,attraperait,attraperions,attraperiez,attraperaient,attrape,attrapes,attrape,attrapions,attrapiez,attrapent,attrapasse,attrapasses,attrapât,attrapassions,attrapassiez,attrapassent,,attrape,,attrapons,attrapez,
balkaniser,balkanisant,balkanisant,balkanisé,avoir,balkanise,balkanises,balkanise,balkanisons,balkanisez,balkanisent,balkanisais,balkanisais,balkanisait,balkanisions,balkanisiez,balkanisaient,balkanisai,balkanisas,balkanisa,balkanisâmes,balkanisâtes,balkanisèrent,balkaniserai,balkaniseras,balkanisera,balkaniserons,balkaniserez,balkaniseront,balkaniserais,balkaniserais,balkaniserait,balkaniserions,balkaniseriez,balkaniseraient,balkanise,balkanises,balkanise,balkanisions,balkanisiez,balkanisent,balkanisasse,balkanisasses,balkanisât,balkanisassions,balkanisassiez,balkanisassent,,balkanise,,balkanisons,balkanisez,
bafouiller,bafouillant,bafouillant,bafouillé,avoir,bafouille,bafouilles,bafouille,bafouillons,bafouillez,bafouillent,bafouillais,bafouillais,bafouillait,bafouillions,bafouilliez,bafouillaient,bafouillai,bafouillas,bafouilla,bafouillâmes,bafouillâtes,bafouillèrent,bafouillerai,bafouilleras,bafouillera,bafouillerons,bafouillerez,bafouilleront,bafouillerais,bafouillerais,bafouillerait,bafouillerions,bafouilleriez,bafouilleraient,bafouille,bafouilles,bafouille,bafouillions,bafouilliez,bafouillent,bafouillasse,bafouillasses,bafouillât,bafouillassions,bafouillassiez,bafouillassent,,bafouille,,bafouillons,bafouillez,
autopsier,autopsiant,autopsiant,autopsié,avoir,autopsie,autopsies,autopsie,autopsions,autopsiez,autopsient,autopsiais,autopsiais,autopsiait,autopsiions,autopsiiez,autopsiaient,autopsiai,autopsias,autopsia,autopsiâmes,autopsiâtes,autopsièrent,autopsierai,autopsieras,autopsiera,autopsierons,autopsierez,autopsieront,autopsierais,autopsierais,autopsierait,autopsierions,autopsieriez,autopsieraient,autopsie,autopsies,autopsie,autopsiions,autopsiiez,autopsient,autopsiasse,autopsiasses,autopsiât,autopsiassions,autopsiassiez,autopsiassent,,autopsie,,autopsions,autopsiez,
biaiser,biaisant,biaisant,biaisé,avoir,biaise,biaises,biaise,biaisons,biaisez,biaisent,biaisais,biaisais,biaisait,biaisions,biaisiez,biaisaient,biaisai,biaisas,biaisa,biaisâmes,biaisâtes,biaisèrent,biaiserai,biaiseras,biaisera,biaiserons,biaiserez,biaiseront,biaiserais,biaiserais,biaiserait,biaiserions,biaiseriez,biaiseraient,biaise,biaises,biaise,biaisions,biaisiez,biaisent,biaisasse,biaisasses,biaisât,biaisassions,biaisassiez,biaisassent,,biaise,,biaisons,biaisez,
blackbouler,blackboulant,blackboulant,blackboulé,avoir,blackboule,blackboules,blackboule,blackboulons,blackboulez,blackboulent,blackboulais,blackboulais,blackboulait,blackboulions,blackbouliez,blackboulaient,blackboulai,blackboulas,blackboula,blackboulâmes,blackboulâtes,blackboulèrent,blackboulerai,blackbouleras,blackboulera,blackboulerons,blackboulerez,blackbouleront,blackboulerais,blackboulerais,blackboulerait,blackboulerions,blackbouleriez,blackbouleraient,blackboule,blackboules,blackboule,blackboulions,blackbouliez,blackboulent,blackboulasse,blackboulasses,blackboulât,blackboulassions,blackboulassiez,blackboulassent,,blackboule,,blackboulons,blackboulez,
bécoter,bécotant,bécotant,bécoté,avoir,bécote,bécotes,bécote,bécotons,bécotez,bécotent,bécotais,bécotais,bécotait,bécotions,bécotiez,bécotaient,bécotai,bécotas,bécota,bécotâmes,bécotâtes,bécotèrent,bécoterai,bécoteras,bécotera,bécoterons,bécoterez,bécoteront,bécoterais,bécoterais,bécoterait,bécoterions,bécoteriez,bécoteraient,bécote,bécotes,bécote,bécotions,bécotiez,bécotent,bécotasse,bécotasses,bécotât,bécotassions,bécotassiez,bécotassent,,bécote,,bécotons,bécotez,
ausculter,auscultant,auscultant,ausculté,avoir;être,ausculte,auscultes,ausculte,auscultons,auscultez,auscultent,auscultais,auscultais,auscultait,auscultions,auscultiez,auscultaient,auscultai,auscultas,ausculta,auscultâmes,auscultâtes,auscultèrent,ausculterai,ausculteras,auscultera,ausculterons,ausculterez,ausculteront,ausculterais,ausculterais,ausculterait,ausculterions,ausculteriez,ausculteraient,ausculte,auscultes,ausculte,auscultions,auscultiez,auscultent,auscultasse,auscultasses,auscultât,auscultassions,auscultassiez,auscultassent,,ausculte,,auscultons,auscultez,
barricader,barricadant,barricadant,barricadé,avoir,barricade,barricades,barricade,barricadons,barricadez,barricadent,barricadais,barricadais,barricadait,barricadions,barricadiez,barricadaient,barricadai,barricadas,barricada,barricadâmes,barricadâtes,barricadèrent,barricaderai,barricaderas,barricadera,barricaderons,barricaderez,barricaderont,barricaderais,barricaderais,barricaderait,barricaderions,barricaderiez,barricaderaient,barricade,barricades,barricade,barricadions,barricadiez,barricadent,barricadasse,barricadasses,barricadât,barricadassions,barricadassiez,barricadassent,,barricade,,barricadons,barricadez,
baver,bavant,bavant,bavé,avoir,bave,baves,bave,bavons,bavez,bavent,bavais,bavais,bavait,bavions,baviez,bavaient,bavai,bavas,bava,bavâmes,bavâtes,bavèrent,baverai,baveras,bavera,baverons,baverez,baveront,baverais,baverais,baverait,baverions,baveriez,baveraient,bave,baves,bave,bavions,baviez,bavent,bavasse,bavasses,bavât,bavassions,bavassiez,bavassent,,bave,,bavons,bavez,
barber,barbant,barbant,barbé,avoir,barbe,barbes,barbe,barbons,barbez,barbent,barbais,barbais,barbait,barbions,barbiez,barbaient,barbai,barbas,barba,barbâmes,barbâtes,barbèrent,barberai,barberas,barbera,barberons,barberez,barberont,barberais,barberais,barberait,barberions,barberiez,barberaient,barbe,barbes,barbe,barbions,barbiez,barbent,barbasse,barbasses,barbât,barbassions,barbassiez,barbassent,,barbe,,barbons,barbez,
bafouer,bafouant,bafouant,bafoué,avoir,bafoue,bafoues,bafoue,bafouons,bafouez,bafouent,bafouais,bafouais,bafouait,bafouions,bafouiez,bafouaient,bafouai,bafouas,bafoua,bafouâmes,bafouâtes,bafouèrent,bafouerai,bafoueras,bafouera,bafouerons,bafouerez,bafoueront,bafouerais,bafouerais,bafouerait,bafouerions,bafoueriez,bafoueraient,bafoue,bafoues,bafoue,bafouions,bafouiez,bafouent,bafouasse,bafouasses,bafouât,bafouassions,bafouassiez,bafouassent,,bafoue,,bafouons,bafouez,
aviser,avisant,avisant,avisé,avoir,avise,avises,avise,avisons,avisez,avisent,avisais,avisais,avisait,avisions,avisiez,avisaient,avisai,avisas,avisa,avisâmes,avisâtes,avisèrent,aviserai,aviseras,avisera,aviserons,aviserez,aviseront,aviserais,aviserais,aviserait,aviserions,aviseriez,aviseraient,avise,avises,avise,avisions,avisiez,avisent,avisasse,avisasses,avisât,avisassions,avisassiez,avisassent,,avise,,avisons,avisez,
beurrer,beurrant,beurrant,beurré,avoir,beurre,beurres,beurre,beurrons,beurrez,beurrent,beurrais,beurrais,beurrait,beurrions,beurriez,beurraient,beurrai,beurras,beurra,beurrâmes,beurrâtes,beurrèrent,beurrerai,beurreras,beurrera,beurrerons,beurrerez,beurreront,beurrerais,beurrerais,beurrerait,beurrerions,beurreriez,beurreraient,beurre,beurres,beurre,beurrions,beurriez,beurrent,beurrasse,beurrasses,beurrât,beurrassions,beurrassiez,beurrassent,,beurre,,beurrons,beurrez,
bavarder,bavardant,bavardant,bavardé,avoir,bavarde,bavardes,bavarde,bavardons,bavardez,bavardent,bavardais,bavardais,bavardait,bavardions,bavardiez,bavardaient,bavardai,bavardas,bavarda,bavardâmes,bavardâtes,bavardèrent,bavarderai,bavarderas,bavardera,bavarderons,bavarderez,bavarderont,bavarderais,bavarderais,bavarderait,bavarderions,bavarderiez,bavarderaient,bavarde,bavardes,bavarde,bavardions,bavardiez,bavardent,bavardasse,bavardasses,bavardât,bavardassions,bavardassiez,bavardassent,,bavarde,,bavardons,bavardez,
barrer,barrant,barrant,barré,avoir,barre,barres,barre,barrons,barrez,barrent,barrais,barrais,barrait,barrions,barriez,barraient,barrai,barras,barra,barrâmes,barrâtes,barrèrent,barrerai,barreras,barrera,barrerons,barrerez,barreront,barrerais,barrerais,barrerait,barrerions,barreriez,barreraient,barre,barres,barre,barrions,barriez,barrent,barrasse,barrasses,barrât,barrassions,barrassiez,barrassent,,barre,,barrons,barrez,
augmenter,augmentant,augmentant,augmenté,avoir,augmente,augmentes,augmente,augmentons,augmentez,augmentent,augmentais,augmentais,augmentait,augmentions,augmentiez,augmentaient,augmentai,augmentas,augmenta,augmentâmes,augmentâtes,augmentèrent,augmenterai,augmenteras,augmentera,augmenterons,augmenterez,augmenteront,augmenterais,augmenterais,augmenterait,augmenterions,augmenteriez,augmenteraient,augmente,augmentes,augmente,augmentions,augmentiez,augmentent,augmentasse,augmentasses,augmentât,augmentassions,augmentassiez,augmentassent,,augmente,,augmentons,augmentez,
baliver,balivant,balivant,balivé,avoir,balive,balives,balive,balivons,balivez,balivent,balivais,balivais,balivait,balivions,baliviez,balivaient,balivai,balivas,baliva,balivâmes,balivâtes,balivèrent,baliverai,baliveras,balivera,baliverons,baliverez,baliveront,baliverais,baliverais,baliverait,baliverions,baliveriez,baliveraient,balive,balives,balive,balivions,baliviez,balivent,balivasse,balivasses,balivât,balivassions,balivassiez,balivassent,,balive,,balivons,balivez,
avorter,avortant,avortant,avorté,avoir,avorte,avortes,avorte,avortons,avortez,avortent,avortais,avortais,avortait,avortions,avortiez,avortaient,avortai,avortas,avorta,avortâmes,avortâtes,avortèrent,avorterai,avorteras,avortera,avorterons,avorterez,avorteront,avorterais,avorterais,avorterait,avorterions,avorteriez,avorteraient,avorte,avortes,avorte,avortions,avortiez,avortent,avortasse,avortasses,avortât,avortassions,avortassiez,avortassent,,avorte,,avortons,avortez,
balbutier,balbutiant,balbutiant,balbutié,avoir;être,balbutie,balbuties,balbutie,balbutions,balbutiez,balbutient,balbutiais,balbutiais,balbutiait,balbutiions,balbutiiez,balbutiaient,balbutiai,balbutias,balbutia,balbutiâmes,balbutiâtes,balbutièrent,balbutierai,balbutieras,balbutiera,balbutierons,balbutierez,balbutieront,balbutierais,balbutierais,balbutierait,balbutierions,balbutieriez,balbutieraient,balbutie,balbuties,balbutie,balbutiions,balbutiiez,balbutient,balbutiasse,balbutiasses,balbutiât,balbutiassions,balbutiassiez,balbutiassent,,balbutie,,balbutions,balbutiez,
bander,bandant,bandant,bandé,avoir,bande,bandes,bande,bandons,bandez,bandent,bandais,bandais,bandait,bandions,bandiez,bandaient,bandai,bandas,banda,bandâmes,bandâtes,bandèrent,banderai,banderas,bandera,banderons,banderez,banderont,banderais,banderais,banderait,banderions,banderiez,banderaient,bande,bandes,bande,bandions,bandiez,bandent,bandasse,bandasses,bandât,bandassions,bandassiez,bandassent,,bande,,bandons,bandez,
